STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
95,32.4,3.0,0.0,173.68,10.0,0.0005596499309074159,3,0.0,1.0,9.0,0
96,96.5,6.0,0.0,173.68,10.0,0.0033337171810225697,2,0.0,0.9,40.208333333333336,0
97,54.0,1.0,0.0,173.7,10.0,0.000310880829015544,2,0.0,0.9,22.5,0
98,60.0,29.0,0.0,173.68,10.0,0.01001842468908337,2,0.0,0.9,25.0,0
99,84.0,2.0,0.0,173.68,10.0,0.0009672961768770153,3,0.0,1.0,23.333333333333336,0
100,114.0,12.0,0.0,173.68,10.0,0.00787655458314141,4,0.0,1.15,23.75,0
103,16.2,12.0,0.0,173.68,10.0,0.0011192998618148318,2,0.0,0.9,6.75,0
104,16.2,7.0,0.0,173.68,10.0,0.0006529249193919852,3,0.0,1.0,4.5,0
105,66.0,15.0,0.0,173.7,10.0,0.005699481865284974,2,0.0,0.9,27.5,0
106,96.6,10.0,0.0,173.68,10.0,0.0055619530170428364,3,0.0,1.0,26.833333333333336,0
107,27.0,4.0,0.0,173.68,10.0,0.0006218332565637955,2,0.0,0.9,11.25,0
108,96.5,6.0,0.0,173.68,10.0,0.0033337171810225697,4,0.0,1.15,20.104166666666668,0
109,54.0,6.0,0.0,173.7,10.0,0.0018652849740932642,3,0.0,1.0,15.000000000000002,0
110,60.0,5.0,0.0,173.68,10.0,0.0017273146015660983,3,0.0,1.0,16.666666666666668,0
111,84.0,5.0,0.0,173.68,10.0,0.002418240442192538,3,0.0,1.0,23.333333333333336,0
112,114.0,9.0,0.0,173.7,10.0,0.005906735751295338,2,0.0,0.9,47.5,0
113,0.0,2.0,0.0,10,10.0,0.0,2,0.0,0.9,0.0,0
114,124.2,13.0,0.0,173.7,10.0,0.009295336787564768,2,0.0,0.9,51.75,0
115,54.0,10.0,0.0,173.68,10.0,0.0031091662828189775,3,0.0,1.0,15.000000000000002,0
116,96.6,8.0,1.0,173.68,10.0,0.004449562413634269,3,0.00125,1.0,26.833333333333336,1
117,36.0,9.0,0.0,173.68,10.0,0.0018654997696913864,4,0.0,1.15,7.5,0
118,96.5,7.0,0.0,173.7,10.0,0.0038888888888888888,3,0.0,1.0,26.805555555555557,0
119,54.0,10.0,0.0,173.68,10.0,0.0031091662828189775,2,0.0,0.9,22.5,0
